lat,                    lon,                type
52.13886161747233,      11.64530113119315,  att
52.13893778495066,      11.646993323157428, att
52.13953439959264,      11.64754715219246,  att
52.13960189754942,      11.646439610511376, att
52.139420234325385,     11.644928404274763, att
52.139193227158565,     11.645442243819168, rep
52.13873185661875,      11.64604126781022,  rep
52.13983556877823,      11.647903288820826, rep
52.13927000303959,      11.6465389796281,   rep
52.13972261306308,      11.644770246818533, rep
52.1397041,	            11.6458553,	        spawn
52.1399972,	            11.6466332,	        spawn
52.1394078,	            11.6469604,	        spawn
52.1391049,	            11.6460753,	        spawn
52.13923,	            11.6449595,	        spawn
