update:single_rep, att:8, rep:2
lat,                lon,                type
52.138512845451487, 11.643902813825111, rep
52.137656119954976, 11.645456650417355, rep
52.138536686312932, 11.648402179733589, rep
52.139068038820717, 11.648001874321528, rep
52.139604689116666, 11.644558320435356, rep
52.139272547696137, 11.645791621524314, rep
52.138744387518742, 11.645532515387274, rep
52.139338234315332, 11.644025084519219, rep
52.139530834258849, 11.646638146466760, rep
52.139268797636298, 11.648273963729636, rep
52.138656631703910, 11.645146517101807, rep
52.138958597150783, 11.644337892397742, rep
52.138997257564931, 11.647214879069514, att
52.138924732048793, 11.646914130469273, att
52.137690624805408, 11.643935100010880, att
52.139179162049231, 11.646960369584010, att
52.137898493707191, 11.648070039681214, att
52.138653217717831, 11.647156541603387, att
52.138958406685170, 11.646690512237372, att
52.137467559636910, 11.644625497191013, att
52.138844475502900, 11.647833462997848, att
52.138207448740992, 11.647359351811444, att
52.139374791950452, 11.644879966764153, att
52.138185387418311, 11.645061176497370, att
52.139177030142100, 11.644023686807198, att
52.138816702749885, 11.647082866664618, att
52.139580625036096, 11.644404054146397, att
52.139145072460479, 11.643985840748575, att
52.137476987253912, 11.647342274412503, att
52.137929097943562, 11.645364590988317, att
52.139381118910563, 11.647498693933292, att
52.138238639888350, 11.643840475559127, att
52.139675635453507, 11.647309366715406, att
52.139592733501786, 11.647132440406994, att
52.139304312452403, 11.646509475161674, att
52.138543331305058, 11.644933198670863, att
52.137948511726997, 11.644557101471797, att
52.139294564770097, 11.645836482188793, att
52.137893412143534, 11.645090100409353, att
52.138073435421610, 11.646879183086753, att
52.138369393137232, 11.647617127702462, att
52.138296656499755, 11.648730118112926, att
52.139368458268486, 11.644981134604629, att
52.139625984303564, 11.644078469544697, att
52.137363469324157, 11.645701180800218, att
52.139729235159457, 11.646432678582642, att
52.139629223210008, 11.645587001320727, att
52.137458142876930, 11.644171724654354, att
52.137884293316944, 11.645870192471714, att
52.139377108268633, 11.647190819802345, att
52.138141412358721, 11.647843792916293, att
52.138427839700910, 11.644181111916058, att
52.137779070740628, 11.646210208684122, att
52.139003429776018, 11.647284708109314, att
52.138153061084779, 11.648550381076321, att
52.138960972235552, 11.644664258242026, att
52.138011615230553, 11.644894233818258, att
52.139405255407212, 11.644150532350903, att
52.138914097668284, 11.647875682234650, att
52.138397078388714, 11.647356613664840, att
52.137264463878473, 11.644745936612026, spawn
52.137257553801788, 11.644716667242594, spawn
52.137282050814207, 11.644819297808764, spawn
52.138056790693454, 11.644800106263254, spawn
52.137626208401301, 11.644428106484586, spawn
52.137604739185875, 11.644355813439374, spawn
52.137906500262609, 11.644792312037925, spawn
52.137994163012493, 11.645061461603422, spawn
52.138295784412925, 11.644748938182145, spawn
52.138197687892877, 11.645350473283393, spawn
