Startup-Time:    0.000000 at 1932.693912776 sec
drone_timestamp, sys_timestamp, own_x, own_y, member_50_x, member_50_y, member_51_x, member_51_y
   0.029310, 1932.743999168,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000
   0.427926, 1933.148997647,    -0.0000,    -0.0000,    -0.0000,    -0.0000,    -0.0000,    -0.0000
   0.826542, 1933.542850191,    -0.0000,    -0.0000,    -0.0000,    -0.0000,    -0.0000,    -0.0000
   1.225158, 1933.920035408,     0.0000,    -0.0000,     0.0000,    -0.0000,     0.0000,    -0.0000
   1.623774, 1934.327271844,     0.0000,    -0.0000,     0.0000,    -0.0000,     0.0000,    -0.0000
   2.022390, 1934.735000959,     0.0000,     0.0000,     0.0000,     0.0000, 54938.0977, -45601.4297
   2.421006, 1935.109055235,     0.0000,     0.0000,     0.0000,     0.0000, 54938.0977, -45601.4297
   2.819622, 1935.520138766,     0.0000,     0.0000,     0.0000,     0.0000, 54938.0977, -45601.4297
   3.218238, 1935.924387209,     0.0000,     0.0000,     0.0000,     0.0000, 54938.0977, -45601.4297
   3.616854, 1936.337260834,     0.0000,     0.0000,     0.0000,     0.0000, 54938.0977, -45601.4297
   4.015470, 1936.706700739,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
   4.414086, 1937.112507050,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
   4.812702, 1937.532700841,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
   5.211318, 1937.920759782,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
   5.609934, 1938.305908236,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
   6.008550, 1938.711409875,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
   6.407166, 1939.119673175,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
   6.805782, 1939.492050757,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
   7.204398, 1939.913053943,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
   7.603014, 1940.319500390,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
   8.001630, 1940.699563310,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
   8.400246, 1941.117746010,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
   8.798862, 1941.509895793,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
   9.197478, 1941.891090710,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
   9.596094, 1942.306242571,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
   9.994710, 1942.712074865,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  10.393326, 1943.161476269,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  10.791942, 1943.503794139,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  11.190558, 1943.877771218,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  11.589174, 1944.298198633,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  11.987790, 1944.670277312,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  12.386406, 1945.092669975,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  12.785022, 1945.502006396,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  13.183638, 1945.871214234,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  13.582254, 1946.297509300,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  13.980870, 1946.676348703,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  14.379486, 1947.060390752,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  14.778102, 1947.486617740,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  15.176718, 1947.875260025,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  15.575334, 1948.259887865,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  15.973950, 1948.668579853,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  16.372566, 1949.082203134,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  16.771181, 1949.455754520,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  17.169798, 1949.875175575,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  17.568415, 1950.254312827,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  17.967030, 1950.669741739,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  18.365646, 1951.045066633,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  18.764261, 1951.465523303,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  19.162878, 1951.881863777,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  19.561495, 1952.251523553,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0078,   166.8867
  19.960110, 1952.664748242,    -0.0000,     0.0000,    -0.0000,     0.0000,    -0.0078,   166.8867
  20.358727, 1953.038574375,    -0.0000,     0.0000,    -0.0000,     0.0000,    -0.0078,   166.8867
  20.757341, 1953.457564323,    -0.0000,     0.0000,    -0.0000,     0.0000,    -0.0078,   166.8867
  21.155958, 1953.876193361,    -0.0000,     0.0000,    -0.0000,     0.0000,    -0.0078,   166.8867
